Município,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Silves (AM),22617,23853,25996,26758,30821,30934,41284,48484,48370,62113,62378,83929.0,74699.0,105001.0,99257.0,96376.0,101823.0,114106.0,133809.0
Tabatinga (AM),66997,86915,95554,107747,125564,142851,160006,197632,237078,294163,275456,327177.0,366628.0,382963.0,423684.0,463248.0,537079.0,594242.0,653294.0
Tapauá (AM),32676,34350,37916,41928,48124,56144,64379,72104,84359,142178,128599,152594.0,189775.0,201237.0,215987.0,338884.0,247785.0,192217.0,218778.0
Tefé (AM),191904,177025,185768,229239,267434,277321,239097,255117,350169,539754,558291,540069.0,710995.0,710973.0,657170.0,746603.0,936724.0,1021258.0,941549.0
Tonantins (AM),21420,24462,27443,31299,39325,42061,47150,50857,58573,76576,81782,99627.0,107192.0,114685.0,118661.0,123847.0,133877.0,151465.0,158650.0
Uarini (AM),22910,24942,26137,34814,41826,40787,41964,42812,78559,74985,87491,106102.0,121455.0,130831.0,172385.0,186574.0,188175.0,196338.0,205148.0
Urucará (AM),44065,48267,53053,55424,69616,58845,61896,67209,102020,262260,227714,256607.0,302307.0,310200.0,297880.0,298331.0,330708.0,302863.0,306841.0
Urucurituba (AM),27267,28242,29670,28083,32914,47258,51939,63039,73588,85446,99087,110166.0,119412.0,113917.0,124236.0,143101.0,166521.0,179336.0,195781.0
Amajari (RR),22590,25024,27415,30654,33125,49815,55048,63955,76901,93573,104081,120398.0,106016.0,123154.0,142465.0,163113.0,169685.0,176954.0,198055.0
Alto Alegre (RR),68702,75447,84664,96576,109409,92505,102266,113549,134967,148197,153345,181429.0,190357.0,221320.0,251016.0,276115.0,280115.0,307361.0,409678.0
Boa Vista (RR),1821018,1966959,2112632,2392604,2902139,3187975,3671265,4338036,5123256,5539888,5835746,6705377.0,7353245.0,7581092.0,8110722.0,8947813.0,10042234.0,10697931.0,11826207.0
Bonfim (RR),47170,50715,59326,66145,74529,76965,87302,99235,108568,124340,139877,191785.0,185433.0,224232.0,247398.0,266844.0,281340.0,315224.0,417473.0
Cantá (RR),38787,42192,49196,61267,67186,80479,103291,114320,124720,148512,153467,183167.0,200639.0,209781.0,226193.0,247658.0,268480.0,275046.0,325142.0
Caracaraí (RR),73387,78049,91680,102102,110888,127163,141968,177817,174394,205883,222389,258592.0,267044.0,307049.0,327059.0,347759.0,347040.0,369912.0,410468.0
Caroebe (RR),24282,25782,28662,33045,37759,48301,54900,64682,73318,83313,93127,123945.0,132112.0,142421.0,151484.0,162996.0,178393.0,199851.0,227657.0
Iracema (RR),21523,24317,27718,32805,42076,42502,48733,55570,76327,82427,87502,114095.0,119517.0,126537.0,136169.0,150906.0,159895.0,158894.0,182227.0
Mucajaí (RR),51824,56433,63460,72758,79369,97150,108650,125201,147252,187539,176930,209439.0,205852.0,248327.0,270760.0,299920.0,309570.0,311626.0,348643.0
Normandia (RR),30579,35210,38618,38457,43003,54959,64925,60622,74442,82347,86659,102878.0,110653.0,123235.0,129566.0,148455.0,153495.0,173355.0,194806.0
Pacaraima (RR),47848,52784,59741,57451,63898,74824,84886,86630,102814,109556,115388,131072.0,139438.0,145930.0,164379.0,171778.0,204460.0,261537.0,290483.0
Rorainópolis (RR),77288,86086,97653,114708,135055,153638,183780,213930,241465,282703,308534,403929.0,436625.0,467660.0,501717.0,530590.0,547432.0,576395.0,636834.0
São João da Baliza (RR),23477,27445,30040,35444,36550,42852,50617,60867,66010,81867,89964,109951.0,116628.0,124280.0,140162.0,155127.0,177732.0,205385.0,262133.0
São Luiz (RR),24738,27692,31089,34893,40044,39102,43120,49580,59706,67668,74577,93160.0,94081.0,100434.0,110517.0,119130.0,139074.0,143844.0,165155.0
Uiramutã (RR),18819,19945,20864,24523,27422,35073,41113,47981,55010,65905,69882,81508.0,86482.0,97451.0,103629.0,116502.0,111043.0,118912.0,129313.0
Abaetetuba (PA),224354,247947,295111,320742,362883,415535,458889,509254,583793,709884,798053,891428.0,1056559.0,1192555.0,1246639.0,1337353.0,1413517.0,1491621.0,1656576.0
