Município,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carneiros (AL),21554,9912,14604,16351,17524,21557,25553,26584,27884,32070,37006,41716.0,44463.0,50470.0,55012.0,57365.0,61911.0,66066.0,70792.0
Chã Preta (AL),15157,18599,25762,23825,27139,26091,28767,31844,40622,41749,52286,41215.0,61743.0,66184.0,82702.0,108854.0,115658.0,115608.0,135112.0
Coité do Nóia (AL),25156,26614,23352,27121,30626,31191,39066,40438,44894,44898,63496,66925.0,71212.0,83835.0,82804.0,102268.0,98586.0,130875.0,147470.0
Colônia Leopoldina (AL),70932,100472,109224,118703,96947,97560,147040,156948,150666,199295,133106,134270.0,177864.0,219758.0,227030.0,252184.0,257649.0,263536.0,368572.0
Coqueiro Seco (AL),10851,10753,11748,13370,15066,16934,19864,21831,25725,23517,32081,47740.0,47688.0,49735.0,61270.0,67040.0,69025.0,74803.0,77816.0
Coruripe (AL),451915,552361,532543,566700,606677,597373,681845,693489,703927,1053432,886604,1035988.0,1067009.0,1240701.0,1469182.0,1376189.0,1272690.0,1401650.0,1735605.0
Craíbas (AL),37603,42536,41735,47498,54145,68376,86469,86013,105616,100545,138003,118969.0,130036.0,183369.0,155918.0,196579.0,217099.0,248592.0,316716.0
Delmiro Gouveia (AL),149439,191308,231712,240475,270349,322662,315854,312058,343733,466650,519068,478098.0,479379.0,486192.0,457368.0,475706.0,519436.0,571343.0,623323.0
Dois Riachos (AL),20438,17485,22753,25489,33624,32910,40183,40005,38292,44396,44774,55688.0,57866.0,66858.0,69888.0,77918.0,73701.0,77901.0,86124.0
Estrela de Alagoas (AL),24964,23653,28495,33848,35174,40794,48210,52853,57879,65937,69186,79613.0,86360.0,94368.0,98663.0,104607.0,116202.0,116730.0,127020.0
Feira Grande (AL),49888,51696,42083,46436,51768,65042,77250,81277,95294,95709,126457,133838.0,143314.0,172527.0,182496.0,284595.0,324947.0,328283.0,350251.0
Feliz Deserto (AL),35558,35738,40208,52143,61092,86053,85310,67830,67862,88766,70228,102874.0,76865.0,86503.0,107823.0,108823.0,125353.0,102975.0,126801.0
Flexeiras (AL),38242,44294,36771,41750,46306,47769,62404,68264,64962,64991,63955,76129.0,91505.0,99087.0,118835.0,175287.0,144362.0,213006.0,269941.0
Girau do Ponciano (AL),108877,86030,85464,82877,90493,103233,127263,136556,161139,160011,227338,219086.0,229845.0,263217.0,288959.0,322917.0,343756.0,380191.0,482110.0
Ibateguara (AL),33424,41200,39785,47100,46829,57279,66583,72553,76484,63268,74504,95552.0,107752.0,119308.0,122426.0,140477.0,134665.0,142828.0,146439.0
Igaci (AL),52438,49563,60202,67715,74940,77155,92864,97413,104989,116705,129467,155223.0,147980.0,161950.0,167031.0,181926.0,197218.0,218611.0,262941.0
Igreja Nova (AL),109951,127594,139451,153802,136506,162463,214399,178890,175263,261247,283289,294400.0,308680.0,341475.0,332172.0,384927.0,350831.0,385218.0,438268.0
Inhapi (AL),28291,22341,26672,33672,35375,42073,54580,55091,61240,68298,110902,89152.0,95001.0,103259.0,104840.0,112130.0,117784.0,131983.0,141572.0
Jacaré dos Homens (AL),16494,12726,15194,15553,23776,25581,29789,29143,29607,32513,39086,36973.0,35622.0,45169.0,45865.0,52055.0,46268.0,52977.0,63558.0
Jacuípe (AL),24677,25559,26427,27565,32761,37316,38464,43014,45266,48343,45162,53849.0,79742.0,62443.0,65877.0,171513.0,171437.0,163303.0,153525.0
Japaratinga (AL),24630,21410,22639,26157,29412,34479,38996,44578,45971,55678,53385,100051.0,91824.0,98715.0,110822.0,159426.0,161307.0,174950.0,190123.0
Jaramataia (AL),17444,13096,17507,16753,18200,19148,21496,24073,24916,27525,28939,34765.0,36070.0,43193.0,43050.0,53735.0,52962.0,52941.0,61957.0
Jequiá da Praia (AL),93066,108537,124534,133302,140385,135530,159115,168746,149850,210466,192569,199530.0,215019.0,204413.0,225847.0,249216.0,209525.0,254848.0,283288.0
Joaquim Gomes (AL),56527,66222,48881,52452,59889,65734,79690,88163,94887,84680,93298,117418.0,128941.0,146176.0,227526.0,315272.0,261104.0,341902.0,338476.0
Jundiá (AL),17849,15946,14751,17633,21282,22715,27023,30427,28731,33415,30716,33660.0,37829.0,39422.0,44149.0,45591.0,46351.0,47368.0,44245.0
Junqueiro (AL),99713,85031,76463,93939,100888,106902,130421,146650,138333,170285,171676,203588.0,203403.0,277422.0,368925.0,353682.0,316730.0,348848.0,425620.0
Lagoa da Canoa (AL),55590,44089,45375,42968,47816,57635,69411,75611,93839,84184,110447,107091.0,110331.0,130464.0,126085.0,157570.0,203816.0,208484.0,239908.0
Limoeiro de Anadia (AL),41427,47809,51133,58855,64873,67528,80759,90355,97824,108487,115893,157758.0,254247.0,378463.0,501225.0,458698.0,409364.0,508746.0,541608.0
Maceió (AL),4279173,4787711,5531275,5996121,7086562,8226356,9158548,10579670,12369801,14080116,15467174,16456725.0,18266729.0,20690141.0,21305268.0,21841866.0,22397272.0,23367034.0,22872756.0
Major Isidoro (AL),36085,33371,42857,52491,56874,61528,70641,82983,86987,94079,107330,123805.0,138350.0,156631.0,161023.0,175715.0,176069.0,193711.0,208851.0
Maragogi (AL),71790,76762,94866,98390,118856,130862,160562,188705,200032,243477,275384,299635.0,416748.0,442984.0,521556.0,673421.0,629145.0,692510.0,722600.0
Maravilha (AL),18751,17412,20718,24710,28934,28903,32291,35026,38620,42196,47965,57013.0,58494.0,67420.0,66633.0,66399.0,67674.0,69776.0,79834.0
Marechal Deodoro (AL),379959,495353,622889,688279,736451,854529,883126,723879,911886,1029461,983604,1238951.0,1242757.0,1488214.0,1639965.0,1922611.0,1925916.0,2404106.0,2835700.0
Maribondo (AL),27215,30519,29110,33557,39579,44577,50353,59913,63900,73141,89330,102047.0,107778.0,125155.0,130817.0,137631.0,144135.0,154730.0,163136.0
Mar Vermelho (AL),7370,7239,8420,10178,11012,12266,14418,16165,16898,18838,21663,24521.0,25423.0,27929.0,30884.0,31844.0,36989.0,39387.0,54831.0
Mata Grande (AL),44576,38264,41784,57867,66268,65231,75535,79822,88104,103029,117123,136090.0,145188.0,167279.0,164647.0,189505.0,223449.0,246086.0,307996.0
Matriz de Camaragibe (AL),67908,83717,85038,90435,99541,104197,122878,130955,129057,170808,184424,204861.0,223959.0,237393.0,271013.0,298468.0,287551.0,305530.0,312881.0
Messias (AL),36944,36419,45416,49920,57586,61245,74911,89980,86801,103017,94208,120051.0,142368.0,147842.0,175475.0,179613.0,156726.0,176602.0,175581.0
Minador do Negrão (AL),11427,11563,13339,14390,16190,19227,22091,26391,25264,27606,29968,34819.0,36334.0,39031.0,42820.0,48424.0,54515.0,57938.0,60547.0
Monteirópolis (AL),15215,10876,12686,15540,18492,19304,22718,24046,25581,30467,33707,38666.0,41416.0,48752.0,51791.0,51895.0,56573.0,60397.0,71505.0
Murici (AL),69870,84677,77168,88495,95974,107250,137861,147617,141080,148576,142920,186304.0,206426.0,246764.0,259063.0,290405.0,315313.0,403324.0,423387.0
Novo Lino (AL),34833,41877,37802,43566,43317,49140,63015,70392,97161,68148,68135,80391.0,98886.0,109063.0,129020.0,145829.0,128760.0,157875.0,182701.0
Olho d'Água das Flores (AL),51961,53360,61919,68580,81414,85968,79749,73586,95979,108129,129845,151850.0,161001.0,192812.0,196419.0,191882.0,199084.0,216846.0,229413.0
Olho d'Água do Casado (AL),18821,16641,18827,26784,27743,30844,37679,38598,36511,38230,41848,51539.0,52189.0,54948.0,63505.0,70044.0,70660.0,74727.0,81415.0
Olho d'Água Grande (AL),9944,10186,11069,12627,13913,15586,17863,19442,20490,22365,24439,29125.0,27434.0,32769.0,47079.0,39928.0,45727.0,49916.0,59873.0
Olivença (AL),16889,13774,19543,22558,26099,28755,36282,36027,42145,48192,54939,62323.0,60285.0,66884.0,64828.0,68838.0,79089.0,83982.0,92094.0
Ouro Branco (AL),14054,15112,18059,20618,24151,29774,33368,34944,38129,42629,50347,56462.0,60038.0,65590.0,69508.0,76940.0,77415.0,82891.0,94348.0
Palestina (AL),8396,7269,8585,10737,12006,13282,16048,16879,18560,19848,22587,27399.0,26768.0,30936.0,34697.0,33400.0,37090.0,39043.0,38730.0
Palmeira dos Índios (AL),203402,202685,239337,259674,281581,327737,364179,389952,444152,525088,621362,658389.0,732347.0,934494.0,724987.0,778477.0,828891.0,943218.0,997069.0
Pão de Açúcar (AL),59338,41770,48339,60779,64568,66280,76174,87184,94900,102043,114000,133619.0,143232.0,159645.0,168485.0,186195.0,213482.0,214549.0,231339.0
Pariconha (AL),18257,17725,18603,29821,32288,31264,40339,39457,37587,39563,41068,49022.0,53200.0,62666.0,61963.0,72060.0,73327.0,75944.0,119538.0
Paripueira (AL),25800,22493,30457,33155,36759,37723,50634,58133,72526,74483,78671,96661.0,115024.0,118982.0,154748.0,151348.0,165570.0,169741.0,180548.0
Passo de Camaragibe (AL),52209,68976,62101,66266,68394,71158,84583,97233,92127,89173,98951,130447.0,158434.0,128744.0,156191.0,266555.0,242857.0,228044.0,273482.0
Paulo Jacinto (AL),10743,12222,13879,15402,17234,19123,21107,23693,25724,28105,32937,40449.0,45624.0,52886.0,61859.0,67639.0,72956.0,77017.0,86050.0
Penedo (AL),193023,206440,245099,296188,259390,285727,347018,394221,402529,471287,517318,568495.0,644217.0,744739.0,862862.0,897784.0,748024.0,793622.0,826574.0
Piaçabuçu (AL),45805,50899,61131,60318,61626,68656,76989,90501,106139,120362,107976,143049.0,172121.0,190622.0,272755.0,293761.0,318802.0,316532.0,403826.0
Pilar (AL),155255,156554,194450,250386,320488,430127,376860,279104,323190,377124,534649,597650.0,449236.0,437528.0,422423.0,433111.0,482269.0,539244.0,557176.0
Pindoba (AL),6654,6075,8121,9227,11207,12613,14873,17702,17589,18862,20559,24122.0,24435.0,25131.0,29218.0,32628.0,35363.0,37647.0,44144.0
Piranhas (AL),36009,35246,38914,51740,55306,63266,75718,80707,86372,96164,111593,140447.0,164366.0,175714.0,199329.0,220225.0,246029.0,266009.0,296792.0
Poço das Trincheiras (AL),17384,17313,20616,24121,26621,30438,36323,38193,43694,50996,55006,70659.0,71590.0,78848.0,85978.0,92554.0,92359.0,92644.0,107354.0
Porto Calvo (AL),82095,99383,117257,118640,122050,127671,146492,168455,171182,212205,232055,204273.0,220200.0,250531.0,318330.0,343267.0,328011.0,350482.0,341389.0
Porto de Pedras (AL),26879,30390,29054,29421,32916,36244,44108,51120,48017,54174,53070,71668.0,76290.0,83679.0,140876.0,273575.0,199187.0,213192.0,231351.0
Porto Real do Colégio (AL),36877,33359,39180,42067,44964,50117,63131,70206,92404,90932,116627,108794.0,124811.0,145012.0,167231.0,193465.0,176791.0,201172.0,221238.0
Quebrangulo (AL),17544,18999,21036,25825,30378,33289,39562,44570,48974,50132,60116,68208.0,74237.0,85591.0,103621.0,112656.0,121725.0,138124.0,173900.0
Rio Largo (AL),323257,249320,268990,277685,297079,333092,411836,434460,489700,608863,651706,634944.0,731770.0,855803.0,983459.0,1018571.0,1059514.0,1164095.0,1311046.0
Roteiro (AL),30095,27930,42868,46967,53869,55170,58814,65368,57955,68914,66323,84595.0,100494.0,89226.0,107603.0,146753.0,114859.0,137386.0,157727.0
Santa Luzia do Norte (AL),42999,53505,60948,44556,49255,58098,65252,41757,46699,76815,49537,57503.0,86332.0,107737.0,113928.0,153707.0,135252.0,168078.0,194039.0
Santana do Ipanema (AL),93887,91901,145870,141834,155104,179104,216696,216345,246216,284639,334804,365686.0,412587.0,474985.0,517408.0,513570.0,509121.0,562748.0,575685.0
Santana do Mundaú (AL),124437,95973,87018,130988,118361,119691,128281,147322,198730,226121,308809,164668.0,248243.0,327061.0,773129.0,807102.0,1094185.0,970661.0,1379720.0
São Brás (AL),12427,13264,15019,17605,20336,21820,25215,28622,28069,32572,35840,39417.0,47819.0,53978.0,75666.0,115090.0,83216.0,90682.0,108439.0
São José da Laje (AL),97915,128719,121805,146648,141938,160985,178546,200992,199791,223560,191522,190647.0,272369.0,315700.0,255460.0,302139.0,302094.0,363473.0,413726.0
São José da Tapera (AL),38743,39173,47970,55586,63121,73963,86409,95167,105921,120316,134353,202414.0,238123.0,191554.0,225618.0,232181.0,225932.0,272099.0,283922.0
São Luís do Quitunde (AL),152887,173263,202308,196059,198383,231493,242020,248354,264999,371744,370285,405941.0,472998.0,504545.0,399700.0,416398.0,575006.0,689190.0,766119.0
São Miguel dos Campos (AL),484938,584686,560343,644300,751061,946820,944207,815053,892341,1187048,1195722,1194840.0,1131712.0,1031352.0,943619.0,977489.0,1040390.0,1120634.0,992621.0
São Miguel dos Milagres (AL),16430,18513,22167,25046,27601,30542,39195,45742,46505,52950,55601,74018.0,84878.0,97692.0,105933.0,140978.0,148134.0,164159.0,176046.0
São Sebastião (AL),82193,78474,99602,110067,116604,132541,161803,175788,180023,223638,218022,247113.0,256591.0,280306.0,341246.0,381078.0,438041.0,561730.0,670597.0
Satuba (AL),34135,50564,43374,48245,62780,85763,77761,74488,77910,103569,102894,111801.0,104966.0,115157.0,139010.0,207667.0,169556.0,186778.0,203612.0
Senador Rui Palmeira (AL),16363,17534,19839,24094,27945,30096,35079,37986,41213,46157,48834,57279.0,66906.0,77105.0,82153.0,82293.0,87661.0,92433.0,101818.0
Tanque d'Arca (AL),10108,11145,13031,14082,15999,16442,19326,21109,23529,27168,30208,35430.0,37383.0,42277.0,46900.0,49596.0,54674.0,59428.0,79167.0
Taquarana (AL),40108,55883,48909,57535,54731,65380,88614,96176,93919,101975,157054,187601.0,149385.0,179542.0,241571.0,272048.0,253668.0,311476.0,380128.0
Teotônio Vilela (AL),107728,120897,132922,157224,173217,180309,205365,236139,247037,303695,309192,341836.0,309776.0,392197.0,463205.0,470147.0,512120.0,534512.0,784584.0
Traipu (AL),59644,44802,46037,49887,53237,57451,75826,79777,84300,88318,116132,142349.0,148793.0,157368.0,194150.0,205488.0,205190.0,206396.0,262374.0
União dos Palmares (AL),229184,272214,267989,290842,298724,339793,403252,426826,437457,487166,554675,525713.0,625896.0,764346.0,787674.0,935273.0,941836.0,1049580.0,1283500.0
Viçosa (AL),52922,55549,61639,69033,77178,81318,93721,108211,115018,153679,182059,173251.0,195341.0,232516.0,261081.0,295468.0,339655.0,415697.0,481429.0
Amparo do São Francisco (SE),5808,6809,7720,8486,10709,11624,12467,13756,15253,19359,18899,21311.0,24832.0,27059.0,25822.0,28365.0,27619.0,33187.0,33738.0
Aquidabã (SE),55567,71086,75336,83592,90179,97533,121495,113543,124432,140231,159854,186779.0,190412.0,222558.0,224995.0,216458.0,229708.0,240218.0,261809.0
Aracaju (SE),3960053,4117581,4889723,5369523,5811605,6576018,7352626,7695928,9603945,10817133,12570179,14075190.0,14900367.0,15870236.0,16567686.0,16376457.0,17378213.0,17529350.0,16447105.0
Arauá (SE),33714,43416,38916,46653,57926,59772,67139,85414,76205,83048,81549,98356.0,102366.0,108819.0,111164.0,108234.0,108322.0,116671.0,122779.0
Areia Branca (SE),47723,61484,58711,62841,76962,78942,95675,99392,113431,118442,139698,162882.0,163445.0,163951.0,178693.0,195694.0,188320.0,220733.0,231211.0
Barra dos Coqueiros (SE),142936,163749,182998,209784,252849,233510,271857,220251,298387,358349,384659,393882.0,439719.0,385515.0,360515.0,385636.0,488070.0,577898.0,1113778.0
Boquim (SE),78619,86994,87896,103122,129307,132330,144519,162595,183937,192305,210764,247329.0,272910.0,281522.0,291884.0,299585.0,291217.0,292677.0,303558.0
Brejo Grande (SE),27323,34252,36785,38143,45966,46952,49058,50279,51977,59102,62674,67396.0,73009.0,68086.0,75257.0,77550.0,75613.0,89202.0,92232.0
Campo do Brito (SE),40181,50404,51198,54570,62761,69140,84838,90851,107684,114809,128353,144434.0,152441.0,184371.0,211059.0,211710.0,196626.0,213914.0,229424.0
Canhoba (SE),10985,12525,14238,14940,18352,19095,23107,25376,26214,29833,31268,36399.0,42165.0,46051.0,44302.0,52660.0,43424.0,55574.0,65003.0
Canindé de São Francisco (SE),908242,1112820,1244185,1128060,993694,1122712,1404471,1192958,1709831,1622071,1918800,574469.0,681208.0,1232885.0,1271166.0,1633105.0,2147285.0,2651943.0,3161604.0
Capela (SE),65348,75310,84067,92665,117018,136756,157155,196029,247025,254095,269258,265191.0,311402.0,324459.0,309494.0,327035.0,373968.0,388835.0,355621.0
Carira (SE),43170,47734,53494,56404,69809,82807,153841,162033,202939,185803,150604,233975.0,241157.0,236323.0,205826.0,264092.0,216677.0,324225.0,423278.0
Carmópolis (SE),132331,186147,243254,327551,445732,480593,542986,425945,556044,717401,901830,795971.0,750055.0,475623.0,310742.0,325967.0,380349.0,457996.0,376994.0
Cedro de São João (SE),13375,14486,15786,16656,19352,21812,24897,26336,29647,30630,33277,38703.0,42663.0,46674.0,49842.0,52112.0,53979.0,59649.0,57569.0
Cristinápolis (SE),44128,56345,51144,61348,73532,76222,83215,106247,120218,118708,122634,155071.0,157312.0,195813.0,211184.0,198380.0,209873.0,209635.0,225021.0
Cumbe (SE),8764,10528,11308,12077,14965,16506,19046,21803,23624,25315,28969,32806.0,35784.0,38160.0,38108.0,41641.0,36738.0,50202.0,58743.0
Divina Pastora (SE),42598,69898,93551,131932,179103,163221,204253,129577,175757,236084,282453,270419.0,273916.0,172534.0,85957.0,103059.0,152571.0,151315.0,120171.0
Estância (SE),537574,642783,638023,627688,731688,848954,983421,889618,1108185,1286402,1446525,1706347.0,1787377.0,1637872.0,1462690.0,1634349.0,1693741.0,1953242.0,2066404.0
Feira Nova (SE),12724,14611,16395,18682,22501,26345,28698,30073,32038,33838,38318,45488.0,54132.0,54174.0,58200.0,67053.0,57193.0,74921.0,93814.0
Frei Paulo (SE),63248,81831,89017,93964,137798,163760,182412,187385,237702,223677,232697,242800.0,201070.0,198386.0,190838.0,240185.0,214067.0,252534.0,320616.0
Gararu (SE),24284,26045,29507,33445,41721,42127,44217,57269,62029,65538,69179,79681.0,89554.0,101810.0,99822.0,106332.0,103272.0,118175.0,136759.0
General Maynard (SE),7000,8350,10453,10615,12768,14493,15333,15061,17631,18627,21052,25007.0,29228.0,29218.0,31260.0,31130.0,31581.0,36059.0,36504.0
Gracho Cardoso (SE),12854,15047,17300,17761,24282,28643,32819,36407,44062,45316,45130,50428.0,52405.0,56907.0,59812.0,66975.0,60672.0,73607.0,84742.0
Ilha das Flores (SE),20234,22917,24958,24840,32263,34184,39760,39924,39221,43674,44982,54110.0,58125.0,64612.0,69749.0,73151.0,71687.0,76265.0,85965.0
Indiaroba (SE),38767,51112,53203,54897,70939,76806,100469,122216,120232,116700,123163,145313.0,154199.0,151061.0,201538.0,165986.0,183806.0,193016.0,203744.0
Itabaiana (SE),296208,329680,379710,421152,471714,535116,656754,692947,870520,996587,1133677,1272128.0,1433316.0,1503422.0,1627833.0,1805324.0,1793290.0,2006622.0,1913873.0
Itabaianinha (SE),92430,109127,114754,129449,159010,162501,179166,210398,232623,246361,268848,325171.0,343546.0,369012.0,406783.0,429878.0,426895.0,435164.0,471155.0
Itabi (SE),12060,14437,16562,17764,21616,21708,25101,28107,27666,32896,35409,38565.0,44518.0,47687.0,50849.0,55934.0,53347.0,58623.0,66004.0
Itaporanga d'Ajuda (SE),144600,193692,241041,238429,307736,367516,519633,453989,523635,656638,708258,875008.0,863691.0,815911.0,794925.0,1033213.0,901932.0,856211.0,864283.0
Japaratuba (SE),165323,215006,278688,358685,463690,459628,515738,366819,493889,662064,805338,763095.0,787797.0,450618.0,259980.0,295500.0,392648.0,415767.0,380292.0
Japoatã (SE),75169,87869,111954,102846,99501,103243,104380,103474,106692,106786,106897,122711.0,123264.0,138941.0,148515.0,151970.0,161981.0,177614.0,191960.0
Lagarto (SE),351457,394792,401180,413421,499251,542620,624013,678908,754701,821860,941958,1188597.0,1234282.0,1294026.0,1372789.0,1505374.0,1469644.0,1639444.0,1634264.0
Laranjeiras (SE),372059,486106,498917,513065,574095,658421,730756,655265,712380,848785,803386,922709.0,1042853.0,1086914.0,1001428.0,926520.0,820872.0,807075.0,666530.0
Macambira (SE),19999,22415,17700,19232,21426,23984,28375,31533,35420,42377,45027,50837.0,50057.0,60232.0,61766.0,71170.0,63991.0,78542.0,86849.0
